First Author,Journal,Year Published,PMID (PubMed identifer),Original Reason for Retraction,Final Reason for Retraction,Retraction Announcement,Secondary Source
Paul,Biochemistry,1996,8909298,unknown,fraud,"""Uncertain validity of the data and the failure to reproduce some of the results""","Office of Research Integrity: first author ""falsified an experiment"""
Paul,Proc Natl Acad Sci U S A,1996,8692921,unknown,fraud,"""Uncertain validity of the data and the irreproducibility of some of the results""","Office of Research Integrity: first author ""falsified an experiment"""
Puckerin,J Biol Chem,2006,16912040,unknown,fraud,no reason provided,"Retraction Watch (Oransky): ""An internal Mt. SInai investigation found that (principal investigator) committed research misconduct"""
Qian,J Med Chem,2009,19271734,unknown,fraud,"""violation of the ACS ethical guidelines""","Retraction Watch (Oransky): ""data duplication"""
Qiuping,Oncogene,2005,15580304,unknown,possible fraud,no reason provided,"Retraction Watch (Marcus): other articles by this group retracted due to ""image manipulation"""
Racker,Science,1981,6264596,unknown,fraud,"""discrepancy. . . cast doubt on some of the published and unpublished claims we made""",Nature (Racker): a detailed discussion of fraud by Racker's graduate student Mark Spector
Rakoff-Nahoum,J Immunol,2001,11490022,error,fraud,"""an error in the presentation of data""","Office of Research Integrity: senior author ""engaged in scientific misconduct by falsifying and fabricating data"""
Ramalingam,EMBO J,2002,11847107,unknown,fraud and plagiarism,"""result cannot be replicated""","Office of Research Integrity: first author ""plagiarized"" and ""falsified figures"""
Ramalingam,Nat Cell Biol,2000,11146662,error,fraud,"""images. . . were inappropriately processed""","Office of Research Integrity: first author ""plagiarized"" and ""falsified figures"""
Rangaswami,J Biol Chem,2005,15757900,unknown,fraud,no reason provided,"The Telegraph (Jayan): the Indian Academy of Sciences sanctioned the senior author for ""reusing images"""
Razem,Biochem Cell Biol,2007,17901904,unknown,fraud,"""previous work has been found to be not reproducible""","Retraction Watch (Oransky): first author's ""results were fabricated"""
Razem,J Biol Chem,2004,14699092,unknown,fraud,"""data. . . are not reproducible""","Retraction Watch (Oransky): first author's ""results were fabricated"""
Razem,Nature,2006,16421562,error,fraud,"""errors in the calculations""","Retraction Watch (Oransky): first author's ""results were fabricated"""
Richman,J Biol Chem,2004,15047708,unknown,fraud,no reason provided,"Retraction Watch (Oransky): ""An internal Mt. SInai investigation found that (principal investigator) committed research misconduct"""
Rooney,Genes Dev,2001,11711437,unknown,fraud,"""experiments. . . could not be reproduced""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying"" figures"
Roy,J Biol Chem,1995,7559549,unknown,fraud,"""unable to reproduce the results""","Office of Research Integrity: first author ""intentionally falsified the data"""
Ruggiero,J Pers Soc Psychol,1999,10531671,unknown,fraud,"""data reported in this article are invalid""","Office of Research Integrity: first author ""engaged in scientific misconduct by fabricating data"""
Ruggiero,Psychol Sci,2000,11202499,error,fraud,"""improper exclusion of some participants""","Office of Research Integrity: first author ""engaged in scientific misconduct by fabricating data"""
Salter,PLoS One,2008,18382581,error,possible fraud,"""presence of errors in the labeling of clinical response""","60 Minutes (Pelley): co-author states it is ""abundantly clear"" that the data were fabricated"
Seki,J Biol Chem,2006,16714283,unknown,fraud,no reason provided,"Nature (Abbott et al.): senior author ""fabricated data"""
Shao,Clin Cancer Res,2001,11489795,unknown,fraud,"""after reviewing the sources for some of the data. . . we have concluded that the article should be retracted""","Office of Research Integrity: senior author ""falsified and fabricated the results"""
Shin,Infect Immun,2004,15039353,unknown,fraud,"""results presented. . . cannot be verified in the data record""","Office of Research Integrity: first author ""engaged in research misconduct by falsifying data"""
Simmons,Immunity,1997,9390688,unknown,fraud,"""critical data can't be reproduced""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying research"""
Simmons,Immunogenetics,1993,8344721,unknown,fraud,"""reason to doubt the validity of the data""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying research"""
Simmons,J Immunol,1996,8568273,unknown,fraud,"""results. . . cannot be confirmed and are not valid""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying research"""
Simmons,J Immunol,1997,9300696,unknown,fraud,"""results. . . cannot be confirmed and are not valid""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying research"""
Slutsky,Am Heart J,1983,6401372,unknown,fraud,"""certain information has recently come to the attention of (first author) which has convinced him that the results. . . are subject to serious question""","JAMA (Friedman): first author repeatedly engaged in ""research fraud"""
Slutsky,Am Heart J,1984,6380255,unknown,fraud,"""certain information has recently come to the attention of (first author) which has convinced him that the results. . . are subject to serious question""","JAMA (Friedman): first author repeatedly engaged in ""research fraud"""
Slutsky,Am Heart J,1984,6382990,unknown,fraud,"""certain information has recently come to the attention of (first author) which has convinced him that the results. . . are subject to serious question""","JAMA (Friedman): first author repeatedly engaged in ""research fraud"""
Slutsky,Invest Radiol,1983,6345451,unknown,fraud,"""certain information has recently come to the attention of (first author) which has convinced him that the results. . . are subject to serious question""","JAMA (Friedman): first author repeatedly engaged in ""research fraud"""
Slutsky,Invest Radiol,1984,6392156,unknown,fraud,"""certain information has recently come to the attention of (first author) which has convinced him that the results. . . are subject to serious question""","JAMA (Friedman): first author repeatedly engaged in ""research fraud"""
Slutsky,Radiology,1984,6385104,unknown,fraud,"""subject to serious question. . . conclusions set forth therein cannot be relied upon""","JAMA (Friedman): first author repeatedly engaged in ""research fraud"""
Slutsky,Radiology,1984,6379743,unknown,fraud,"""subject to serious question. . . conclusions set forth therein cannot be relied upon""","JAMA (Friedman): first author repeatedly engaged in ""research fraud"""
Slutsky,Radiology,1985,3881789,unknown,fraud,"""subject to serious question. . . conclusions set forth therein cannot be relied upon""","JAMA (Friedman): first author repeatedly engaged in ""research fraud"""
Slutsky,Radiology,1985,3883412,unknown,fraud,"""subject to serious question. . . conclusions set forth therein cannot be relied upon""","JAMA (Friedman): first author repeatedly engaged in ""research fraud"""
Smith,Ann NY Acad Sci,2002,12446313,unknown,duplicate publication,no reason provided,"Nature (Reich): ""material copied without acknowledgment from previous publications"""
Smith,Ann NY Acad Sci,2002,12446324,unknown,duplicate publication,no reason provided,"Nature (Reich): ""material copied without acknowledgment from previous publications"""
Smith,Ann NY Acad Sci,2004,15644350,unknown,duplicate publication,no reason provided,"Nature (Reich): ""material copied without acknowledgment from previous publications"""
Soman,J Clin Invest,1977,326810,unknown,fraud,"""review of the raw data has revealed some discrepancies""","New York Times (Hunt): co-author ""falsified data"""
Soman,J Clin Invest,1978,205552,unknown,fraud,"""review of the raw data has revealed some discrepancies""","New York Times (Hunt): co-author ""falsified data"""
Soman,N Engl J Med,1978,460062,unknown,fraud,"""review of the raw data has revealed some discrepancies""","New York Times (Hunt): co-author ""falsified data"""
Soman,Nature,1978,205799,unknown,fraud,"""review of the raw data has revealed some discrepancies""","New York Times (Hunt): co-author ""falsified data"""
Soman,Am J Med,1980,6985768,unknown,fraud,"""review of the raw data has revealed some discrepancies""","New York Times (Hunt): co-author ""falsified data"""
Soman,Diabetes,1980,6986303,unknown,fraud,"""review of the raw data has revealed some discrepancies""","New York Times (Hunt): co-author ""falsified data"""
Soman,J Clin Endocrinol Metab,1978,400712,unknown,fraud,"""review of the raw data has revealed some discrepancies""","New York Times (Hunt): co-author ""falsified data"""
Soman,J Clin Endocrinol Metab,1980,6243667,unknown,fraud,"""review of the raw data has revealed some discrepancies""","New York Times (Hunt): co-author ""falsified data"""
Sotolongo,J Urol,1990,2329615,unknown,fraud,no reason provided,"Office of Research Integrity: first author ""commited scientific misconduct by falsifying research"""
Sperber,J Immunol,2003,12538722,error,fraud,"""despite these errors, the message of the manuscript remains unchanged""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying and fabricating data"""
Stalcup,Circ Res,1978,213200,unknown,fraud,"""unable to reproduce certain experiments""","New York Times (Wilford): technician admitted taking actions resulting ""in the biasing of experimental data"""
Stalcup,J Appl Phys,1979,217854,unknown,fraud,"""unable to confirm the results""","New York Times (Wilford): technician admitted taking actions resulting ""in the biasing of experimental data"""
Stalcup,J Clin Invest,1979,221532,unknown,fraud,no reason provided,"New York Times (Wilford): technician admitted taking actions resulting ""in the biasing of experimental data"""
Tanaka,Mol Cell Biol,2000,16782903,unknown,fraud,"""questions have arisen concerning the validity of. . . figures""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying data"""
Tanaka,Mol Cell Biol,2002,12024037,unknown,fraud,"""questions have arisen concerning the validity of. . . figures""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying data"""
Tewari,Lancet,1990,2684782,error,fraud,"""arithmetical errors made in summarising the data""","Office of Research Integrity: first author ""committed scientific misconduct. . . falsified and fabricated data"""
Thomas,Immunol Rev,2001,11782260,error,fraud,"""recipients did not undergo intrinsic bilateral nephrectomies as specified""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying reports"""
Thomas,Transplantation,1999,10609942,error,fraud,"""contain inaccurate data""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying reports"""
Thomas,Transplantation,2000,10920269,error,fraud,"""contain inaccurate data""","Office of Research Integrity: first author ""engaged in scientific misconduct by falsifying reports"""
Tombler,J Biol Chem,2006,16293615,unknown,fraud,no reason provided,"Retraction Watch (Oransky): ""An internal Mt. SInai investigation found that (principal investigator) committed research misconduct"""
Urban,Cell,1989,2478292,unknown,fraud,"""certain of the original data. . . are unavailable""","Office of Research Integrity: first author ""engaged in scientific misconduct. . . fabricating certain research data"""
Van Parijs,J Exp Med,1997,9314560,error,fraud,"""figure. . . is erroneous""","Office of Research Integrity: first author ""engaged in scientific misconduct. . . by including false data"""
Wang,Hypertension,2000,10642298,unknown,fraud,no reason provided,"Office of Research Integrity: co-author ""engaged in scientific misconduct. . . falsified data"""
Weiser,Proc Natl Acad Sci U S A,1992,1518830,unknown,fraud,no reason provided,"Office of Research Integrity: first author ""committed scientific misconduct by falsifying data"""
Weiss,J Urol,1990,1977932,unknown,fraud,no reason provided,"Office of Research Integrity: first author ""committed scientific misconduct by falsifying research"""
Wong,Proc Natl Acad Sci U S A,2002,12415108,unknown,fraud,"""it is our view that the cell-based data. . . are unreliable""","Office of Research Integrity: senior author ""engaged in misconduct in science. . . by intentionally falsifying figures"""
Xiao,J Biol Chem,2007,17344217,unknown,fraud,no reason provided,"Retraction Watch (Oransky): ""image manipulation"" by senior author"
Xu,J Biol Chem,2000,10849424,unknown,fraud,no reason provided,"Office of Research Integrity: first author ""engaged in scientific misconduct. . . falsified data"""
Yun,J Biol Chem,2003,12968031,unknown,possible fraud,"""failed to confirm the conclusion""","Biochemistry (Walsh, 2007): provides a detailed account of inability to replicate results and possible misconduct by a co-author"
Zhi,J Cell Physiol,2006,16575915,unknown,possible fraud,"""concern regarding duplication of figure 2""","Retraction Watch (Oransky): investigation of ""possible fraud"" in progress"
Zhu,J Biol Chem,2001,11535583,unknown,fraud,no reason provided,"Office of Research Integrity: first author ""engaged in misconduct in science by intentionally and knowingly fabricating and falsifying data"""
